Country,Country Code,Series,Series Code,2020M07 [2020M07]
Lower Middle Income Countries,LMC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1000.52953038884
Luxembourg,LUX,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Macao China,MAC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Macedonia FYR,MKD,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,54.12
Madagascar,MDG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3769.53947368421
Malawi,MWI,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,734.02208333333
Malaysia,MYS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,4.26884210526
Maldives,MDV,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,15.37027777778
Mali,MLI,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Malta,MLT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Mauritania,MRT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,357
Mauritius,MUS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,40.04107894737
Mexico,MEX,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,22.50144736842
Micronesia Fed. Sts.,FSM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Middle East & N. Africa developing,MNA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Middle Income Countries,MIC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,6304.06537111921
Moldova,MDA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,17.07421052632
Mongolia,MNG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2826.57416666667
Morocco,MAR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,9.58702631579
Mozambique,MOZ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,70.15732352941
Myanmar,MMR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Namibia,NAM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,16.80523684211
Nepal,NPL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,120.04921052632
Netherlands,NLD,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Netherlands Antilles,ANT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
New Caledonia,NCL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
New Zealand,NZL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.52235592674
Nicaragua,NIC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,34.48526315789
Niger,NER,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Nigeria,NGA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,388.355
Norway,NOR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,9.34078947368
Oman,OMN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Pakistan,PAK,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,167.09310526316
Panama,PAN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1
Papua New Guinea,PNG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.48121067989
Paraguay,PRY,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,6887.81666666667
Peru,PER,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.51552777778
Philippines,PHL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,49.47863157895
Poland,POL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.91339473684
Portugal,PRT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Qatar,QAT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Romania,ROU,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,4.24697368421
Russian Federation,RUS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,71.19642105263
Rwanda,RWA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,951.59447368421
Samoa,WSM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.64723145857
San Marino,SMR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Sao Tome and Principe,STP,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Saudi Arabia,SAU,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3.75092105263
Senegal,SEN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Serbia and Montenegro,YUG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Seychelles,SYC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,17.56405555556
Sierra Leone,SLE,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,9754.20080555556
Singapore,SGP,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.39021052632
Slovak Republic,SVK,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Slovenia,SVN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Solomon Islands,SLB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,8.25250842784
Somalia,SOM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
South Africa,ZAF,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,16.80523684211
South Asia developing,SAS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,86.81473212176
Spain,ESP,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Sri Lanka,LKA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,185.84236842105
St. Kitts and Nevis,KNA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
St. Lucia,LCA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
St. Vincent and the Grenadines,VCT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Sub-Saharan Africa developing,SST,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,484.68440560776
Sudan,SDN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Suriname,SUR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,7.79866666667
Swaziland,SWZ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,16.80523684211
Sweden,SWE,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,9.10378947368
Switzerland,CHE,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.9385
Syrian Arab Republic,SYR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Taiwan China,TWN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,29.46078947368
Tajikistan,TJK,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Tanzania,TZA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2311.31921052632
Thailand,THA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,31.41155263158
Timor-Leste,TLS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Togo,TGO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Tonga,TON,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.27669105013
Trinidad and Tobago,TTO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,6.75652777778
Tunisia,TUN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.82665789474
Turkey,TUR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,6.85678947368
Turkmenistan,TKM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Uganda,UGA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,3707.4725
Ukraine,UKR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,27.26558333333
United Arab Emirates,ARE,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
United Kingdom,GBR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.79391258082
United States,USA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1
Upper Middle Income Countries,UMC,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,7616.25580329404
Uruguay,URY,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,43.19961111111
Uzbekistan,UZB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,10189.2747058824
Vanuatu,VUT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,114.50147058824
Venezuela RB,VEN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Vietnam,VNM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,23187.6944444444
Virgin Islands (U.S.),VIR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
World,WLT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1974.01294369643
Yemen Rep.,YEM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,250.23328947368
Zambia,ZMB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,18.09777777778
Zimbabwe,ZWE,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,67.13461111111
,,,,
,,,,
,,,,
Data from database: Global Economic Monitor (GEM),,,,
Last Updated: 07/27/2020,,,,
